Company Name,Industry,Symbol
3M India Ltd.,CONSUMER GOODS,3MINDIA
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB
ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG
APL Apollo Tubes Ltd.,METALS,APLAPOLLO
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS
Aarti Industries Ltd.,CHEMICALS,AARTIIND
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS
Abbott India Ltd.,PHARMA,ABBOTINDIA
Adani Enterprises Ltd.,METALS,ADANIENT
Adani Green Energy Ltd.,POWER,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Adani Total Gas Ltd.,OIL & GAS,ATGL
Adani Transmission Ltd.,POWER,ADANITRANS
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES
Aegis Logistics Ltd.,SERVICES,AEGISCHEM
Affle (India) Ltd.,IT,AFFLE
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA
Alembic Ltd.,PHARMA,ALEMBICLTD
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD
Alkem Laboratories Ltd.,PHARMA,ALKEM
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE
Alok Industries Ltd.,TEXTILES,ALOKINDS
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL
Atul Ltd.,CHEMICALS,ATUL
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
BASF India Ltd.,CHEMICALS,BASF
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML
BSE Ltd.,FINANCIAL SERVICES,BSE
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
Balaji Amines Ltd.,CHEMICALS,BALAMINES
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK
Bata India Ltd.,CONSUMER GOODS,BATAINDIA
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS
Bharti Airtel Ltd.,TELECOM,BHARTIARTL
Biocon Ltd.,PHARMA,BIOCON
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN
Birlasoft Ltd.,IT,BSOFT
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS
Blue Dart Express Ltd.,SERVICES,BLUEDART
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC
Bosch Ltd.,AUTOMOBILE,BOSCHLTD
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
CCL Products (I) Ltd.,CONSUMER GOODS,CCL
CESC Ltd.,POWER,CESC
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK
Cadila Healthcare Ltd.,PHARMA,CADILAHC
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME
Canara Bank,FINANCIAL SERVICES,CANBK
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT
Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV
Castrol India Ltd.,OIL & GAS,CASTROLIND
Ceat Ltd.,AUTOMOBILE,CEATLTD
Central Bank of India,FINANCIAL SERVICES,CENTRALBK
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY
Century Textile & Industries Ltd.,PAPER AND JUTE,CENTURYTEX
Cera Sanitaryware Ltd,CONSUMER GOODS,CERA
Chalet Hotels Ltd.,CONSUMER SERVICES,CHALET
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN
Cipla Ltd.,PHARMA,CIPLA
City Union Bank Ltd.,FINANCIAL SERVICES,CUB
Coal India Ltd.,METALS,COALINDIA
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP
Coforge Ltd.,IT,COFORGE
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS
Container Corporation of India Ltd.,SERVICES,CONCOR
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND
Cyient Ltd.,IT,CYIENT
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM
DLF Ltd.,CONSTRUCTION,DLF
Dabur India Ltd.,CONSUMER GOODS,DABUR
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR
Delta Corp Ltd.,CONSUMER SERVICES,DELTACORP
Dhani Services Ltd.,FINANCIAL SERVICES,DHANI
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA
Dilip Buildcon Ltd.,CONSTRUCTION,DBL
Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL
Divi's Laboratories Ltd.,PHARMA,DIVISLAB
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY
E.I.D. Parry (India) Ltd.,CONSUMER GOODS,EIDPARRY
EIH Ltd.,CONSUMER SERVICES,EIHOTEL
EPL Ltd.,INDUSTRIAL MANUFACTURING,EPL
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP
Emami Ltd.,CONSUMER GOODS,EMAMILTD
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS
Eris Lifesciences Ltd.,PHARMA,ERIS
Escorts Ltd.,AUTOMOBILE,ESCORTS
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND
FDC Ltd.,PHARMA,FDC
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK
Fine Organic Industries Ltd.,CHEMICALS,FINEORG
